"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Wyposazenie","Material budynku","cena","urlo","miasto","Media","Zabezpieczenia","Informacje dodatkowe","Dostepne od"
"1:41","38 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","4/4","balkon","350 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie","meble, kuchenka",NA,"269 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-lub-2-pokoje-dabrowka-mala-niski-czynsz-ID4hfh3","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica",NA
"1:42","36,81 m²","zapytaj","1 ","do wykonczenia","parter/3","balkon","zapytaj","zapytaj","Film","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak",NA,NA,"263 351 zl","https://www.otodom.pl/pl/oferta/moderna-5-komfortowe-mieszkanie-e2-6b-ID4elz2","katowice",NA,"drzwi / okna antywlamaniowe, teren zamkniety, monitoring / ochrona",NA,NA
"1:43","32 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","7/10","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","nie","zmywarka, meble, piekarnik, kuchenka","cegla","265 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-32m2-wysoki-standard-ID4gZSd","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:44","31,24 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","plastikowe","tak",NA,NA,"293 656 zl","https://www.otodom.pl/pl/oferta/lokal-nr-3-bud-b-ID4gHGR","katowice","internet","domofon / wideofon",NA,NA
"1:45","31,94 m²","pelna wlasnosc","1 ","zapytaj","6/17","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"apartamentowiec",NA,"tak","meble",NA,"544 000 zl","https://www.otodom.pl/pl/oferta/studio-w-wysokim-standardzie-sokolska-towers-ID4gOHC","katowice",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona","piwnica",NA
"1:46","28 m²","pelna wlasnosc","1 ","zapytaj","1/2","zapytaj","zapytaj","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1940","kamienica",NA,"nie","lodówka, meble, pralka","cegla","239 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-wyposazeniem-do-wprowadzenia-ID4h3TU","katowice",NA,"domofon / wideofon","piwnica, oddzielna kuchnia","2022-06-13"
"1:47","38 m²","pelna wlasnosc","1 ","zapytaj","4/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","drewniane","nie",NA,"wielka plyta","269 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-katowice-hallera-ID4hjoh","katowice",NA,"domofon / wideofon","piwnica",NA
"1:48","37,7 m²","pelna wlasnosc","2 ","do remontu","3/7","balkon","530 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","nie",NA,"cegla","289 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-sprzedaz-katowice-koszutka-ul-okrzei-ID4gukY","katowice",NA,NA,"piwnica",NA
"1:49","38 m²","pelna wlasnosc","2 ","do remontu","4/4","balkon","zapytaj","zapytaj","tak","zapytaj","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,NA,"209 000 zl","https://www.otodom.pl/pl/oferta/balkon-2-niezalezne-pokoje-idealne-pod-wynajem-ID4h4sl","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:50","29,05 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","2022","blok",NA,"tak",NA,NA,"246 925 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-inwestycji-apartamenty-zbozowa-m16-ID4hj0h","katowice",NA,"teren zamkniety, domofon / wideofon",NA,NA
"1:51","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","4/4","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","lodówka, meble, kuchenka, pralka","cegla","305 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-w-katowicach-ligocie-ID4hgLe","katowice","telewizja kablowa, internet","domofon / wideofon","oddzielna kuchnia",NA
"1:52","32,87 m²","zapytaj","2 ","zapytaj","7/8","zapytaj","zapytaj","zapytaj","tak","zapytaj","pierwotny","deweloper","2023","blok",NA,"nie",NA,NA,"524 276,50 zl","https://www.otodom.pl/pl/oferta/park-przy-stawach-mieszkanie-d-7-3-ID4hiSG","katowice",NA,NA,NA,NA
"1:53","37,3 m²","pelna wlasnosc","1 ","do wykonczenia","zapytaj","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,NA,"363 297 zl","https://www.otodom.pl/pl/oferta/apartament-z-balkonem-0-prowizji-rabat-27-tys-ID4gRJH","katowice",NA,NA,NA,NA
"1:54","30,4 m²","zapytaj","1 ","zapytaj","8/11","balkon","310 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","plastikowe","tak",NA,"wielka plyta","270 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-na-os-paderewskiego-bez-nakladow-ID4hiC5","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica",NA
"1:55","32 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","7/10","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1980","blok","drewniane","tak","zmywarka, piekarnik, kuchenka","cegla","265 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-32m2-wysoki-standard-ID4gYQN","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:56","35,9 m²","pelna wlasnosc","2 ","do wykonczenia","4/10","taras","175 zl","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"341 340 zl","https://www.otodom.pl/pl/oferta/nowe-kompaktowe-2-pok-koszutka-bezposrednio-ID4hitA","katowice",NA,"monitoring / ochrona",NA,"2022-07-30"
"1:57","32,7 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","blok",NA,"nie",NA,NA,"261 600 zl","https://www.otodom.pl/pl/oferta/ostatnie-wolne-2-pok-w-sercu-zabytkowej-dzielnicy-ID4hinK","katowice",NA,NA,NA,NA
"1:58","35,89 m²","pelna wlasnosc","2 ","do wykonczenia","4/10","taras","zapytaj","garaz/miejsce parkingowe","Film","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,"341 493 zl","https://www.otodom.pl/pl/oferta/gotowe-do-odbioru-2-pok-z-balkonem-blisko-centrum-ID4hilf","katowice",NA,"monitoring / ochrona",NA,NA
"1:59","32,76 m²","pelna wlasnosc","1 ","do zamieszkania","3/4","balkon","322,06 zl","zapytaj","tak","miejskie","wtórny","prywatny","1986","blok","drewniane","nie","lodówka, meble, piekarnik, kuchenka","wielka plyta","309 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-po-generalnym-remoncie-jozefowiec-ID4gYE0","katowice","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:60","32,66 m²","pelna wlasnosc","2 ","zapytaj","3/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","370 486 zl","https://www.otodom.pl/pl/oferta/mega-promocja-mieszkanie-32-66m2-2-pokoje-0-pcc-ID4hie8","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:61","37,9 m²","pelna wlasnosc","2 ","do zamieszkania","4/10","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","tak",NA,NA,"279 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-90-m-katowice-ID4hi2U","katowice",NA,NA,"piwnica, oddzielna kuchnia",NA
"1:62","37 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","3/3","zapytaj","650 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie","zmywarka, lodówka, piekarnik, kuchenka, pralka",NA,"280 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-brynow-gallusa-bez-posrednikow-ID4gOja","katowice","telewizja kablowa, internet","domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:63","26 m²","pelna wlasnosc","1 ","do zamieszkania","10/10","balkon","450 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","2015","blok","plastikowe","tak","lodówka, meble, piekarnik, kuchenka, telewizor, pralka",NA,"249 900 zl","https://www.otodom.pl/pl/oferta/stylowa-kawalerka-w-doskonalej-lokalizacji-ID4gQcr","katowice",NA,"teren zamkniety, domofon / wideofon","piwnica",NA
"1:64","32,78 m²","pelna wlasnosc","2 ","zapytaj","2/13","balkon","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","biuro nieruchomosci ",NA,"apartamentowiec","plastikowe","tak",NA,"pustak","371 825 zl","https://www.otodom.pl/pl/oferta/idealne-mieszkanie-2-pokoje-promocja-0-pcc-ID4hhJw","katowice","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","pom. uzytkowe",NA
"1:65","29,46 m²","pelna wlasnosc","2 ","zapytaj","4/15","balkon","240 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2020","blok","plastikowe","tak",NA,NA,"353 520 zl","https://www.otodom.pl/pl/oferta/os-tysiaclecia-4-wieze-d-2-pokoje-4-pietro-ID4hhwO","katowice",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","piwnica",NA
"1:66","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","3/4","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1970","blok","drewniane","nie",NA,"cegla","259 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-38-m2-katowice-zawodzie-ID4hbKV","katowice","telewizja kablowa, internet, telefon","domofon / wideofon","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:67","32,8 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","1/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak","lodówka, meble, piekarnik, kuchenka, pralka",NA,"255 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-1-pokojowe-ID4gBqr","katowice","internet","drzwi / okna antywlamaniowe, domofon / wideofon","piwnica, oddzielna kuchnia",NA
"1:68","32,7 m²","zapytaj","2 ","zapytaj","parter/3","zapytaj","zapytaj","zapytaj","tak","zapytaj","pierwotny","deweloper","2021","blok",NA,"nie",NA,NA,"261 600 zl","https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-nowy-nikisz-b-0-2-ID4h97z","katowice","telewizja kablowa, internet",NA,NA,NA
