"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Winda","Media","Zabezpieczenia","Wyposazenie","Material budynku","cena","urlo","miasto","Informacje dodatkowe","Okna","Dostepne od"
"1:11","28,51 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","120 zl","zapytaj","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","1930","kamienica","nie",NA,NA,NA,"cegla","270 845 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-niebuszewie-ID4gN7K","szczecin",NA,NA,NA
"1:12","36,43 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/4","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1998","blok","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","zmywarka, meble, piekarnik, kuchenka, pralka","cegla","335 000 zl","https://www.otodom.pl/pl/oferta/1-2-pokoje-1-pietro-w-niskim-bloku-ID4e0Pj","szczecin",NA,"plastikowe",NA
"1:13","31,89 m²","pelna wlasnosc","2 ","do zamieszkania","4/6","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2021","apartamentowiec","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka",NA,"509 000 zl","https://www.otodom.pl/pl/oferta/super-oferta-taki-apartament-warto-miec-ID4hirg","szczecin",NA,"plastikowe",NA
"1:14","36 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","150 zl","zapytaj","zapytaj","gazowe","pierwotny","biuro nieruchomosci ","2022","kamienica","nie",NA,NA,NA,"cegla","339 372 zl","https://www.otodom.pl/pl/oferta/mieszkanie-36-m-szczecin-ID4gpge","szczecin",NA,"plastikowe",NA
"1:15","35,85 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","pierwotny","deweloper","2022","blok","nie",NA,"domofon / wideofon",NA,"silikat","297 555 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-b7m8-bukowo-polnoc-ID46X0t","szczecin",NA,"plastikowe","2022-12-15"
"1:16","32 m²","pelna wlasnosc","1 ","do remontu","parter/2","ogródek","264 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny",NA,"blok","nie",NA,NA,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","286 000 zl","https://www.otodom.pl/pl/oferta/na-sprzedaz-kawalerka-do-remontu-32m2-z-ogrodkiem-ID4hjTV","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:17","37,86 m²","pelna wlasnosc","1 ","do wykonczenia","parter/10","balkon","zapytaj","zapytaj","tak","miejskie","pierwotny","deweloper","2023","blok","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"wielka plyta","436 200 zl","https://www.otodom.pl/pl/oferta/kawalerka-37-8-m2-w-centrum-nowe-osiedle-ID4dDWB","szczecin",NA,"plastikowe",NA
"1:18","33,02 m²","zapytaj","1 ","do wykonczenia","4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","apartamentowiec","tak","internet",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowoczesny-apartament-silver-forest-4-14-ID4eFaL","szczecin",NA,NA,NA
"1:19","26,4 m²","pelna wlasnosc","1 ","zapytaj","1/10","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1984","blok","tak",NA,NA,NA,NA,"270 000 zl","https://www.otodom.pl/pl/oferta/przestronna-kawalerka-na-pomorzanach-ID4hjQk","szczecin","piwnica","plastikowe",NA
"1:20","37 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/11","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka, telewizor, pralka","wielka plyta","369 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-duza-kawalerke-z-balkonem-ID4h7ty","szczecin",NA,"plastikowe","2021-06-10"
"1:21","30,5 m²","zapytaj","1 ","do zamieszkania","2/4","zapytaj","250 zl","zapytaj","tak","miejskie","pierwotny","prywatny",NA,"kamienica","tak","telewizja kablowa, internet","system alarmowy, drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, kuchenka, telewizor","cegla","399 000 zl","https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-odremontowanej-kamienicyzwinda-ID4hdIt","szczecin","oddzielna kuchnia","plastikowe",NA
"1:22","29 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","1/11","zapytaj","240 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1977","blok","tak",NA,NA,NA,NA,"233 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-sprzedaz-ID4gf2O","szczecin","piwnica","plastikowe","2022-04-11"
"1:23","23,9 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","10/10","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","tak","internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","wielka plyta","259 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-scisle-centrum-rezerwacja-ID4hjDV","szczecin","pom. uzytkowe","plastikowe",NA
"1:24","36,24 m²","zapytaj","2 ","zapytaj","4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"kamienica","nie",NA,NA,NA,"cegla","344 280 zl","https://www.otodom.pl/pl/oferta/mieszkanie-36-24-m-szczecin-ID4hjoO","szczecin",NA,NA,NA
"1:25","36,7 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","parter/9","zapytaj","575 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak",NA,NA,"meble","wielka plyta","339 000 zl","https://www.otodom.pl/pl/oferta/dwu-pokojowe-mieszkanie-wykonczone-pod-klucz-ID4h5HM","szczecin","piwnica, pom. uzytkowe",NA,NA
"1:26","31,76 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2023","blok","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona, rolety antywlamaniowe",NA,"silikat","Zapytaj o cene","https://www.otodom.pl/pl/oferta/gardenia-pogodno-mieszkanie-1-pokojowe-z-tarasem-ID4fli6","szczecin",NA,"plastikowe",NA
"1:27","35,63 m²","pelna wlasnosc","1 ","do remontu","1/3","zapytaj","300 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1950","kamienica","nie",NA,NA,NA,NA,"270 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-blisko-galerii-turzyn-ID4hiex","szczecin","piwnica, oddzielna kuchnia","plastikowe","2022-09-12"
"1:28","33,2 m²","pelna wlasnosc","1 ","do zamieszkania","2/18","zapytaj","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2010","apartamentowiec","tak",NA,"monitoring / ochrona",NA,NA,"346 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-widoku-na-bandurskiego-33m2-2-p-ID4hi6v","szczecin",NA,NA,"2022-10-01"
"1:29","35,74 m²","pelna wlasnosc","2 ","do wykonczenia","2/10","taras","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2023","apartamentowiec","tak",NA,NA,NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/cesja-emilii-plater-ID4gbDA","szczecin",NA,"plastikowe","2023-06-30"
"1:30","34,35 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","4","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"299 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-centrum-przy-ul-wyzwolenia-ID4hi2X","szczecin","piwnica","plastikowe",NA
"1:31","36,49 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","zapytaj","200 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1930","kamienica","nie","telewizja kablowa, internet",NA,"meble","cegla","355 000 zl","https://www.otodom.pl/pl/oferta/malkowskiego-2pok-36-5m2-ii-niski-czynsz-kwartal36-ID4giLE","szczecin","piwnica",NA,NA
"1:32","37 m²","pelna wlasnosc","2 ","do zamieszkania","parter/3","ogródek","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny","2016","blok","nie","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegla","450 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-37m2-nowa-cukrownia-ID4hhQo","szczecin",NA,"plastikowe",NA
"1:33","37 m²","zapytaj","2 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec","tak",NA,NA,NA,"silikat","399 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-stan-deweloperski-ID4fQqx","szczecin",NA,NA,NA
"1:34","34,18 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","balkon","150 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","2016","blok","tak","telewizja kablowa, internet",NA,NA,"cegla","440 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-balkon-iii-pietro-z-winda-gumience-ID4f3ih","szczecin",NA,NA,NA
"1:35","28,6 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","4/9","balkon","266,75 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","tak","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, meble, piekarnik, kuchenka, pralka","wielka plyta","309 000 zl","https://www.otodom.pl/pl/oferta/piekne-1-pokojowe-po-remoncie-z-duzym-balkonem-ID4hhy2","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:36","34,6 m²","pelna wlasnosc","1 ","do zamieszkania","2/2","balkon","247,54 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2013","blok","nie",NA,NA,NA,"inne","345 000 zl","https://www.otodom.pl/pl/oferta/zdroje-kawalerka-z-balkonem-34-6m2-ID4gowO","szczecin","piwnica","plastikowe",NA
"1:37","31,97 m²","pelna wlasnosc","2 ","do zamieszkania","4/6","balkon","400 zl","zapytaj","zapytaj","zapytaj","wtórny","prywatny","2022","apartamentowiec","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka","inne","509 000 zl","https://www.otodom.pl/pl/oferta/kamienica-nova3-narutowicza-2-pokoje-31-98-ID4h5Ar","szczecin","piwnica, pom. uzytkowe",NA,NA
"1:38","31,91 m²","zapytaj","1 ","do wykonczenia","zapytaj","balkon, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper",NA,"blok","tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/gardenia-pogodno-1-pokojowe-30-40-m2-ID4fkST","szczecin",NA,NA,NA
"1:39","24 m²","pelna wlasnosc","1 ","do zamieszkania","6/6","zapytaj","147 zl","zapytaj","tak","miejskie","wtórny","prywatny",NA,"kamienica","nie",NA,"domofon / wideofon","zmywarka, lodówka, meble, kuchenka, telewizor, pralka","cegla","279 900 zl","https://www.otodom.pl/pl/oferta/pokoj-z-aneksem-i-laz-24m2-centrum-dworcowa-ID4g0X6","szczecin",NA,"plastikowe",NA
"1:40","27,6 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","prywatny",NA,NA,"nie",NA,NA,NA,NA,"276 000 zl","https://www.otodom.pl/pl/oferta/nowoczesne-apartamenty-male-blonia-liderhouse-ID45VxY","szczecin",NA,NA,NA
"1:41","38 m²","spóldzielcze wlasnosciowe","2 ","do remontu","9/10","balkon","380 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak","telewizja kablowa, internet",NA,NA,"wielka plyta","314 000 zl","https://www.otodom.pl/pl/oferta/2-pok-centrum-serce-miasta-balkon-winda-ID4hhlf","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:42","36,5 m²","zapytaj","1 ","do zamieszkania","1/4","balkon","290 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1998","blok","nie",NA,NA,NA,"cegla","335 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-37-m2-zelechowa-ID4geN7","szczecin",NA,NA,NA
"1:43","37 m²","zapytaj","2 ","do remontu","parter/4","zapytaj","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","nie",NA,NA,NA,"cegla","319 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-pomorzany-ID4gCIr","szczecin","oddzielna kuchnia",NA,NA
"1:44","35 m²","zapytaj","1 ","do zamieszkania","5/5","balkon","250 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1985","blok","nie",NA,NA,NA,"cegla","329 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-balkon-35-m-niebuszewo-ID4gUgI","szczecin","piwnica, oddzielna kuchnia",NA,NA
"1:45","38 m²","spóldzielcze wlasnosciowe","2 ","do remontu","9/11","balkon","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","tak",NA,NA,"meble","cegla","317 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2pokoje-rozkladowe-balkon-centrum-ID4hgFd","szczecin","piwnica, oddzielna kuchnia",NA,NA
"1:46","28,5 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/10","zapytaj","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1975","blok","tak","internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"zelbet","295 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-komuny-paryskiej-i-pietro-ID4gK0E","szczecin","piwnica","plastikowe",NA
"1:47","37,86 m²","pelna wlasnosc","1 ","do wykonczenia","parter/10","balkon","zapytaj","zapytaj","","miejskie","pierwotny","deweloper","2023","apartamentowiec","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, rolety antywlamaniowe",NA,"cegla","436 200 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38-m2-nowa-inwestycja-w-srodmiesciu-ID4dbt7","szczecin",NA,"plastikowe",NA
"1:48","30,4 m²","pelna wlasnosc","1 ","do remontu","parter/8","zapytaj","300 zl","zapytaj","Wirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","1980","blok","tak","internet",NA,NA,"wielka plyta","270 000 zl","https://www.otodom.pl/pl/oferta/pogodno-kawalerka-z-piwnica-ID4hedn","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:49","26,4 m²","pelna wlasnosc","1 ","do zamieszkania","1","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,NA,"tak",NA,"domofon / wideofon","lodówka, meble, kuchenka, pralka",NA,"260 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-pomorzany-mieszka-i-swietna-lokalizacj-ID4h3kA","szczecin","piwnica","plastikowe",NA
"1:50","32,03 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","zapytaj","380 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny",NA,NA,"nie","telewizja kablowa, internet",NA,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","295 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-32-m2-ul-lucznicza-ID4h37Q","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:51","27,6 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","prywatny",NA,NA,"nie",NA,NA,NA,NA,"276 000 zl","https://www.otodom.pl/pl/oferta/nowoczesne-apartamenty-male-blonia-lider-house-ID4aXLC","szczecin",NA,NA,NA
"1:52","37,89 m²","pelna wlasnosc","2 ","do remontu","2/9","zapytaj","250 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965","blok","tak",NA,NA,NA,"wielka plyta","320 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-na-wyzwolenia-ID4hg2D","szczecin","piwnica, oddzielna kuchnia, pom. uzytkowe",NA,NA
"1:53","31 m²","pelna wlasnosc","1 ","do zamieszkania","parter/6","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka",NA,"300 000 zl","https://www.otodom.pl/pl/oferta/kawalarka-ID4hfYT","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:54","23,55 m²","pelna wlasnosc","1 ","zapytaj","5/5","zapytaj","500 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1973","blok","nie",NA,NA,NA,NA,"395 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-niebuszewo-ID4hfVe","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:55","25 m²","zapytaj","1 ","zapytaj","1/4","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","nie",NA,NA,NA,"wielka plyta","289 000 zl","https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-os-piastowskie-szczecin-ID4hfTC","szczecin","piwnica","plastikowe",NA
"1:56","36 m²","pelna wlasnosc","2 ","do zamieszkania","3","zapytaj","218 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny",NA,"blok","nie",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka",NA,"322 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-po-generalnym-remoncie-bez-posrednikow-ID4gg0J","szczecin","piwnica","plastikowe",NA
"1:57","19,15 m²","spóldzielcze wl. z KW","1 ","zapytaj","5/11","zapytaj","160 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,NA,"tak",NA,NA,NA,NA,"220 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-centrum-szczecina-ID4gWEg","szczecin",NA,NA,"2022-05-31"
"1:58","25 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/4","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1978","blok","nie",NA,NA,"meble","inne","289 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-1-pokojowe-po-remoncie-sw-marcina-ID4hful","szczecin","piwnica","plastikowe","2022-06-21"
"1:59","30,96 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","150 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2021","apartamentowiec","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"silikat","319 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-30-96-m2-balkon-ID4fUtq","szczecin",NA,"plastikowe",NA
"1:60","37,86 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,"nie",NA,NA,NA,NA,"436 200 zl","https://www.otodom.pl/pl/oferta/mieszkanie-deweloperskie-38m2-ID4eeEV","szczecin",NA,NA,NA
"1:61","37 m²","pelna wlasnosc","2 ","zapytaj","1/4","zapytaj","200 zl","zapytaj","zapytaj","piece kaflowe","wtórny","biuro nieruchomosci ","1930","kamienica","nie",NA,NA,NA,"cegla","252 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-przy-deptaku-1-pietro-w-oficynie-ID4heOU","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:62","38 m²","pelna wlasnosc","2 ","do zamieszkania","2","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","prywatny",NA,"blok","nie",NA,NA,NA,NA,"320 000 zl","https://www.otodom.pl/pl/oferta/karolki-miarki-38m2-ID4hefb","szczecin",NA,NA,NA
"1:63","32,74 m²","pelna wlasnosc","2 ","do remontu","6/6","zapytaj","340 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1965","blok","tak",NA,NA,"meble","cegla","269 000 zl","https://www.otodom.pl/pl/oferta/idealna-lokalizacja-pod-wynajem-lub-dla-studenta-ID4gQG8","szczecin","piwnica, oddzielna kuchnia","plastikowe",NA
"1:64","32,5 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","214 zl","zapytaj","Wirtualny spacer","gazowe","wtórny","biuro nieruchomosci ","1920","kamienica","nie","telewizja kablowa, internet","monitoring / ochrona",NA,"cegla","320 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-w-stylu-loftowym-centrum-ID4h3Y9","szczecin",NA,"plastikowe",NA
"1:65","32,5 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","zapytaj","210 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny",NA,"kamienica","nie","telewizja kablowa, internet","domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"320 000 zl","https://www.otodom.pl/pl/oferta/w-pelni-wyposazone-i-umeblowane-2-pok-mieszkanie-ID4fWAO","szczecin",NA,"plastikowe",NA
"1:66","33,6 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","parter/3","zapytaj","130 zl","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ","1930",NA,"nie",NA,NA,"meble","cegla","343 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-w-centrum-szczecina-ID4hdCp","szczecin",NA,NA,NA
"1:67","22 m²","pelna wlasnosc","1 ","do zamieszkania","4/4","zapytaj","170 zl","zapytaj","zapytaj","elektryczne","wtórny","biuro nieruchomosci ","1930","kamienica","nie",NA,NA,"meble","cegla","229 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-szczecina-ID4gNeS","szczecin",NA,NA,NA
