"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od"
"1:11","37,36 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","3/4","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie",NA,NA,"meble","piwnica, oddzielna kuchnia",NA,"265 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-dobrej-lokalizacji-blonie-ID4guyS","bydgoszcz","2022-09-26"
"1:12","35 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,NA,"meble",NA,"cegla","199 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-parterze-blisko-centrum-ID4fZBk","bydgoszcz","2022-06-26"
"1:13","36,3 m²","pelna wlasnosc","2 ","do zamieszkania","3/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,"domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","cegla","275 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-2-pokoje-bydgoszcz-kapusciska-ID4gVpw","bydgoszcz",NA
"1:14","35,74 m²","pelna wlasnosc","2 ","do zamieszkania","2/5","balkon","380 zl","zapytaj","tak","miejskie","wtórny","prywatny","2022","apartamentowiec","plastikowe","tak","internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","meble",NA,"silikat","399 000 zl","https://www.otodom.pl/pl/oferta/idealne-mieszkanie-pod-inwestycje-kup-i-zarabiaj-ID4hdYt","bydgoszcz",NA
"1:15","36,08 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/industria-nowe-mieszkanie-m50-c-ID4eaXX","bydgoszcz",NA
"1:16","35,66 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/industria-ponadczasowe-mieszkanie-m51-c-ID4eaY5","bydgoszcz",NA
"1:17","36,45 m²","zapytaj","2 ","zapytaj","3/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023",NA,NA,"tak",NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-osiedle-symfonia-a43-ID4gU9u","bydgoszcz",NA
"1:18","26,87 m²","zapytaj","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie",NA,NA,NA,NA,NA,"225 000 zl","https://www.otodom.pl/pl/oferta/ostatnia-kawalerka-po-remoncie-na-skrzetusku-ID4eaxo","bydgoszcz",NA
"1:19","30,83 m²","zapytaj","2 ","do wykonczenia","3/3","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"pom. uzytkowe","silikat","305 217 zl","https://www.otodom.pl/pl/oferta/apartamenty-poznanska-25-m28-ID4cM6Z","bydgoszcz",NA
"1:20","37,5 m²","pelna wlasnosc","1 ","do zamieszkania","3","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","prywatny","2015","apartamentowiec",NA,"nie",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka",NA,NA,"359 000 zl","https://www.otodom.pl/pl/oferta/komfortowa-kawalerka-glinki-zielone-tarasy-ID4h0P4","bydgoszcz",NA
"1:21","30,5 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","prywatny",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"cegla","215 000 zl","https://www.otodom.pl/pl/oferta/30-m-kw-z-widokiem-na-wyspe-mlynska-top-oferta-ID4gSZA","bydgoszcz",NA
"1:22","33,17 m²","pelna wlasnosc","2 ","zapytaj","1/2","balkon","320 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2001","blok","plastikowe","nie",NA,"monitoring / ochrona",NA,NA,"cegla","234 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-na-osowej-gorze-37-31m2-ID4hjQZ","bydgoszcz",NA
"1:23","34,89 m²","zapytaj","1 ","do wykonczenia","zapytaj","balkon, taras","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2020",NA,NA,"tak","internet","domofon / wideofon",NA,NA,NA,"352 389 zl","https://www.otodom.pl/pl/oferta/apartamenty-chopina-male-metraze-ostatnie-wolne-ID3YEZq","bydgoszcz",NA
"1:24","33 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","prywatny",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"cegla","180 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-33-m-kw-centrum-3p-ID4h7Aj","bydgoszcz",NA
"1:25","35,74 m²","pelna wlasnosc","1 ","do zamieszkania","3/5","balkon","380 zl","zapytaj","tak","miejskie","pierwotny","prywatny","2022","apartamentowiec","plastikowe","nie","internet","drzwi / okna antywlamaniowe, domofon / wideofon","meble, piekarnik, kuchenka",NA,"silikat","399 000 zl","https://www.otodom.pl/pl/oferta/duza-kawalerka-z-osobna-sypialnia-wykonczone-ID4hhZw","bydgoszcz",NA
"1:26","38 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","390 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,NA,NA,"nie",NA,NA,NA,"piwnica",NA,"285 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-ID4h7jI","bydgoszcz",NA
"1:27","25 m²","spóldzielcze wlasnosciowe","1 ","zapytaj","> 10/11","zapytaj","235 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1982","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica","wielka plyta","215 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-11-pietrze-wzgorze-wolnosci-ID4h413","bydgoszcz","2022-06-08"
"1:28","31 m²","zapytaj","1 ","do zamieszkania","10/11","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1975",NA,"plastikowe","nie",NA,NA,"meble",NA,NA,"239 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-31m2-szwederowo-wiezowiec-ID4h7Bg","bydgoszcz",NA
"1:29","37,39 m²","zapytaj","2 ","zapytaj","4/5","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2017",NA,NA,"nie",NA,NA,NA,NA,NA,"480 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-apartamentowcu-bartodziej-ID4h7Be","bydgoszcz",NA
"1:30","27 m²","zapytaj","2 ","zapytaj","4/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","2021",NA,NA,"nie",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","pom. uzytkowe",NA,"365 000 zl","https://www.otodom.pl/pl/oferta/perlowa-dolina-kawalerka-27m2-wysoki-standard-ID4hdOn","bydgoszcz",NA
"1:31","37,5 m²","pelna wlasnosc","2 ","zapytaj","1/4","zapytaj","315 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon",NA,"piwnica","wielka plyta","249 000 zl","https://www.otodom.pl/pl/oferta/czego-chciec-wiecej-2-pokoje-1-pietro-niski-blok-ID4guSB","bydgoszcz",NA
"1:32","24 m²","pelna wlasnosc","2 ","do zamieszkania","1/3","zapytaj","380 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"kamienica",NA,"nie",NA,"teren zamkniety, monitoring / ochrona","meble",NA,"cegla","210 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-centrum-ID4hjFK","bydgoszcz",NA
"1:33","36 m²","pelna wlasnosc","2 ","zapytaj","3/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1968","blok",NA,"nie",NA,NA,NA,NA,"inne","285 000 zl","https://www.otodom.pl/pl/oferta/m3-na-bloniu-pokoje-nieprzechodnie-ID4hjDH","bydgoszcz",NA
"1:34","36,95 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"339 940 zl","https://www.otodom.pl/pl/oferta/industria-wyjatkowe-mieszkanie-m52-c-ID4eaY6","bydgoszcz",NA
"1:35","33,36 m²","pelna wlasnosc","1 ","do wykonczenia","5/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/enklawa-przytulne-mieszkanie-z3-122-ID4fv7c","bydgoszcz",NA
"1:36","19 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","zapytaj","zapytaj","","miejskie","wtórny","prywatny",NA,"kamienica","plastikowe","nie",NA,"domofon / wideofon","piekarnik, kuchenka","pom. uzytkowe","cegla","164 500 zl","https://www.otodom.pl/pl/oferta/2-kawalerki-500m-od-wyspy-mlynskiej-roi-8-5-9-ID4gByp","bydgoszcz",NA
"1:37","37 m²","zapytaj","1 ","zapytaj","parter","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,NA,NA,"168 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-m-bydgoszcz-ID4hjnN","bydgoszcz",NA
"1:38","35,2 m²","zapytaj","2 ","do remontu","3/4","balkon","240 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,"piwnica","wielka plyta","239 000 zl","https://www.otodom.pl/pl/oferta/blonie-m3-35-2m2-w-dobrej-cenie-ID4gZJW","bydgoszcz",NA
"1:39","37 m²","pelna wlasnosc","2 ","do zamieszkania","parter/4","zapytaj","412 zl","zapytaj","Film","miejskie","pierwotny","prywatny","2021","plomba","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"pustak","410 000 zl","https://www.otodom.pl/pl/oferta/nowe-kameralne-mieszkanie-nowa-cena-ID4gysX","bydgoszcz",NA
"1:40","27,64 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","zapytaj","zapytaj","zapytaj","zapytaj","gazowe","wtórny","prywatny",NA,"kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, kuchenka, telewizor, pralka","piwnica, oddzielna kuchnia","cegla","279 000 zl","https://www.otodom.pl/pl/oferta/wyjatkowy-apartament-gotowy-do-zamieszkania-ID4hds3","bydgoszcz",NA
"1:41","37,36 m²","zapytaj","2 ","zapytaj","3/4","balkon","350 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"nie",NA,NA,NA,"piwnica","cegla","270 000 zl","https://www.otodom.pl/pl/oferta/przytulne-m3-w-bloku-na-os-blonie-ID4gifp","bydgoszcz",NA
"1:42","23 m²","zapytaj","1 ","zapytaj","1/3","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1900","kamienica",NA,"nie",NA,NA,NA,NA,"cegla","180 000 zl","https://www.otodom.pl/pl/oferta/ladna-i-tania-kawalerka-centrum-idealna-inwestyc-ID4hhqp","bydgoszcz",NA
"1:43","38 m²","pelna wlasnosc","1 ","zapytaj","3/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","185 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-przy-wsg-ID4hjjk","bydgoszcz",NA
"1:44","34,05 m²","pelna wlasnosc","2 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,NA,"cegla","170 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-przy-wsg-ID4hjjh","bydgoszcz",NA
"1:45","30 m²","pelna wlasnosc","1 ","zapytaj","8/11","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1985","blok",NA,"tak",NA,NA,NA,"piwnica",NA,"244 000 zl","https://www.otodom.pl/pl/oferta/lesne-z-widokiem-ID4gJGX","bydgoszcz",NA
"1:46","36,04 m²","zapytaj","2 ","zapytaj","3/5","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet","domofon / wideofon",NA,"pom. uzytkowe",NA,"281 112 zl","https://www.otodom.pl/pl/oferta/ustawne-2-pokojowe-mieszkanie-osiedle-panorama-ID4h8eE","bydgoszcz",NA
"1:47","37,9 m²","zapytaj","2 ","do remontu","6/10","balkon","400 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1980",NA,NA,"tak","telewizja kablowa, internet",NA,NA,"piwnica","wielka plyta","260 000 zl","https://www.otodom.pl/pl/oferta/taki-widok-mozesz-miec-kazdego-dnia-ID4hj8P","bydgoszcz","2022-06-23"
"1:48","35,4 m²","pelna wlasnosc","2 ","do zamieszkania","4/4","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, piekarnik, kuchenka","piwnica",NA,"235 000 zl","https://www.otodom.pl/pl/oferta/m-3-ivp-blok-balkon-blonie-cena-235-000-zl-ID4gZ9J","bydgoszcz",NA
"1:49","38 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","parter/11","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"tak",NA,NA,"meble","piwnica, oddzielna kuchnia, pom. uzytkowe","wielka plyta","289 000 zl","https://www.otodom.pl/pl/oferta/zadbane-2-pokojowe-38m2-przy-balatonie-ID4fUdm","bydgoszcz",NA
"1:50","38 m²","spóldzielcze wlasnosciowe","2 ","do remontu","6/11","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"monitoring / ochrona","meble",NA,"wielka plyta","259 900 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-sercu-osiedla-blonie-ID4h0Ry","bydgoszcz",NA
"1:51","38 m²","pelna wlasnosc","2 ","do zamieszkania","3/11","zapytaj","370 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1980","blok",NA,"tak",NA,NA,NA,"piwnica, pom. uzytkowe","wielka plyta","268 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-po-remoncie-bartodzieje-skrzetusko-ID4h1Bz","bydgoszcz",NA
"1:52","24 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","400 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"kamienica","plastikowe","nie",NA,"teren zamkniety, domofon / wideofon","meble, pralka",NA,"cegla","207 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-centrum-umeblowana-ID4h05B","bydgoszcz",NA
"1:53","33,9 m²","pelna wlasnosc","1 ","zapytaj","3/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","189 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-przy-wsg-ID4hiYr","bydgoszcz",NA
"1:54","28,28 m²","pelna wlasnosc","1 ","zapytaj","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","180 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-przy-wsg-ID4hiYq","bydgoszcz",NA
"1:55","30,84 m²","pelna wlasnosc","2 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","189 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-sasiedztwie-rzeki-ID4hiBd","bydgoszcz",NA
"1:56","36,98 m²","pelna wlasnosc","2 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","195 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-sasiedztwie-rzeki-ID4hiBc","bydgoszcz",NA
"1:57","34,94 m²","pelna wlasnosc","1 ","zapytaj","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,NA,"cegla","189 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-sasiedztwie-rzeki-ID4hiBb","bydgoszcz",NA
"1:58","28,41 m²","pelna wlasnosc","1 ","zapytaj","1/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","185 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-sasiedztwie-rzeki-ID4hiB8","bydgoszcz",NA
"1:59","34,94 m²","pelna wlasnosc","2 ","zapytaj","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","195 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-przy-wsg-ID4hiB5","bydgoszcz",NA
"1:60","27,98 m²","pelna wlasnosc","1 ","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1880","kamienica","plastikowe","nie",NA,"monitoring / ochrona",NA,"oddzielna kuchnia","cegla","185 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-kamienicy-w-sasiedztwie-rzeki-ID4hixJ","bydgoszcz",NA
"1:61","31 m²","pelna wlasnosc","1 ","zapytaj","4/4","balkon","350 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1975",NA,NA,"nie",NA,NA,NA,"piwnica",NA,"189 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-balkon-bohaterow-ID4gVPs","bydgoszcz","2022-05-31"
"1:62","36,95 m²","pelna wlasnosc","2 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","","zapytaj","pierwotny","deweloper","2023","blok",NA,"tak","internet, telefon","domofon / wideofon",NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/industria-fantastyczne-mieszkanie-m42-c-ID4eaUK","bydgoszcz",NA
"1:63","31,16 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","deweloper","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"piwnica","silikat","225 910 zl","https://www.otodom.pl/pl/oferta/jasna-4-dwupak-scisle-centrum-nowy-budynek-ID4bLaS","bydgoszcz",NA
"1:64","33,87 m²","zapytaj","2 ","do wykonczenia","3/3","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","miejskie","pierwotny","deweloper","2021","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,"pom. uzytkowe","silikat","335 313 zl","https://www.otodom.pl/pl/oferta/apartamenty-poznanska-25-m30-ID4cM77","bydgoszcz",NA
"1:65","37,91 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","zapytaj","zapytaj","gazowe","pierwotny","deweloper","2023","blok","plastikowe","tak","telewizja kablowa, internet, telefon",NA,NA,NA,"silikat","312 757,50 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-2-pokojowe-na-czyzkowku-ID4giq6","bydgoszcz",NA
"1:66","35 m²","zapytaj","2 ","do zamieszkania","9/10","zapytaj","300 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ",NA,NA,"plastikowe","nie",NA,NA,"meble",NA,NA,"299 000 zl","https://www.otodom.pl/pl/oferta/m-3-na-sprzedaz-swiezo-po-remoncie-ID4hipU","bydgoszcz","2022-07-04"
"1:67","34,26 m²","pelna wlasnosc","2 ","do wykonczenia","3/4","balkon","zapytaj","zapytaj","zapytaj","gazowe","wtórny","prywatny","2022","blok",NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"piwnica",NA,"295 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-piwnica-w-stanie-deweloperskim-sim-ID4hio6","bydgoszcz",NA
