"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","cena","urlo","miasto","Material budynku","Informacje dodatkowe","Dostepne od"
"1:11","35,65 m²","pelna wlasnosc","2 ","do wykonczenia","3/3","taras","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-taras-bez-prowizji-ID4hiDR","wroclaw",NA,NA,NA
"1:12","25,9 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-bez-prowizji-ID4hiDS","wroclaw",NA,NA,NA
"1:13","34,94 m²","pelna wlasnosc","1 ","do wykonczenia","1/1","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-bezposrednio-ID4hgQQ","wroclaw",NA,NA,NA
"1:14","37,56 m²","pelna wlasnosc","2 ","do zamieszkania","10/10","balkon","399,69 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka","449 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-37-56m3-2-pok-ul-stalowa-fabryczna-ID4gQKC","wroclaw","wielka plyta","piwnica, oddzielna kuchnia",NA
"1:15","31,1 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"835 600 zl","https://www.otodom.pl/pl/oferta/2-pokojowy-apartament-inwestycyjny-31m2-ID4hgo9","wroclaw",NA,NA,NA
"1:16","25 m²","pelna wlasnosc","1 ","do wykonczenia","7/8","zapytaj","250 zl","zapytaj","Film","miejskie","wtórny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"349 000 zl","https://www.otodom.pl/pl/oferta/gotowa-kawalerka-prestizowa-inwestycja-centrum-ID4hhkX","wroclaw",NA,"oddzielna kuchnia",NA
"1:17","25,95 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-bezposrednio-ID4hiEA","wroclaw",NA,NA,NA
"1:18","16,77 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"434 880 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-16m2-ID4hgow","wroclaw",NA,NA,NA
"1:19","36,1 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4hiEK","wroclaw",NA,NA,NA
"1:20","17,83 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"440 057 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-17m2-ID4hgol","wroclaw",NA,NA,NA
"1:21","35,29 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4dFcE","wroclaw",NA,NA,NA
"1:22","35,98 m²","pelna wlasnosc","2 ","do wykonczenia","4/4","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"384 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-loggia-bez-prowizji-ID4cSVG","wroclaw",NA,NA,NA
"1:23","26,9 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","4/4","balkon","zapytaj","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok","plastikowe","nie","telewizja kablowa, telefon","domofon / wideofon",NA,"320 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-jasna-kuchnia-super-lokalizacja-ID4heJC","wroclaw",NA,"piwnica, oddzielna kuchnia",NA
"1:24","30,42 m²","pelna wlasnosc","1 ","do wykonczenia","2/2","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-bez-posrednikow-ID4h54f","wroclaw",NA,NA,NA
"1:25","27,1 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-ID4g3Jn","wroclaw",NA,NA,NA
"1:26","33 m²","pelna wlasnosc","2 ","do wykonczenia","2/8","zapytaj","320 zl","zapytaj","tak","miejskie","wtórny","prywatny","2022","apartamentowiec","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"428 000 zl","https://www.otodom.pl/pl/oferta/pulaskiego-nowa-manufaktura-wroclaw-centrum-ID4hjjp","wroclaw","silikat",NA,NA
"1:27","38 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-balkon-bezposrednio-ID4fynf","wroclaw",NA,NA,NA
"1:28","15,65 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"385 955 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-15m2-ID4hgon","wroclaw",NA,NA,NA
"1:29","38 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-balkon-bezposrednio-ID4fymE","wroclaw",NA,NA,NA
"1:30","27,71 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"320 051 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4dOQz","wroclaw",NA,NA,NA
"1:31","38 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-38m2-balkon-bez-prowizji-ID4fynt","wroclaw",NA,NA,NA
"1:32","36,6 m²","pelna wlasnosc","2 ","do zamieszkania","3/3","balkon","400 zl","garaz/miejsce parkingowe","tak","kotlownia","wtórny","prywatny","2016","blok","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","420 000 zl","https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-36-6m2-z-balkonem-i-garazem-ID4hkcs","wroclaw","cegla","oddzielna kuchnia",NA
"1:33","27,86 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-ogrodek-bez-prowizji-ID4g3JE","wroclaw",NA,NA,NA
"1:34","27,5 m²","pelna wlasnosc","2 ","do zamieszkania","2/5","zapytaj","290 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok",NA,"nie","telewizja kablowa, internet",NA,NA,"349 500 zl","https://www.otodom.pl/pl/oferta/tanie-2-pokoje-27-5-m2-2-pietro-ID4hkbS","wroclaw","cegla","piwnica",NA
"1:35","32,5 m²","pelna wlasnosc","1 ","do zamieszkania","2/3","balkon","360 zl","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ","2012","blok","plastikowe","nie","telewizja kablowa, internet","monitoring / ochrona",NA,"384 000 zl","https://www.otodom.pl/pl/oferta/tanie-mieszkanie-na-fabrycznej-32-5-m2-ID4hkbN","wroclaw","cegla",NA,NA
"1:36","26,67 m²","pelna wlasnosc","1 ","do wykonczenia","parter/12","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"305 105 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-balkon-ID4epGr","wroclaw",NA,NA,NA
"1:37","37,38 m²","zapytaj","2 ","zapytaj","parter","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"nie",NA,NA,NA,"439 000 zl","https://www.otodom.pl/pl/oferta/kepa-mieszczanska-37-38-m2-gotowe-jesienia-22-ID4hkaX","wroclaw",NA,NA,NA
"1:38","36 m²","zapytaj","2 ","zapytaj","2/2","balkon","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","biuro nieruchomosci ",NA,NA,NA,"nie",NA,NA,NA,"462 672 zl","https://www.otodom.pl/pl/oferta/folwark-na-wojszycach-mieszkanie-2pok-32-m2-ID4hkaU","wroclaw",NA,NA,NA
"1:39","37,99 m²","pelna wlasnosc","1 ","do wykonczenia","6/9","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"494 318 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4cT19","wroclaw",NA,NA,NA
"1:40","32,6 m²","pelna wlasnosc","1 ","do wykonczenia","2/17","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"439 285 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-32m2-taras-bez-posrednikow-ID4cfuh","wroclaw",NA,NA,NA
"1:41","28,15 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","zapytaj","320 zl","zapytaj","tak","kotlownia","wtórny","biuro nieruchomosci ","2000","blok","drewniane","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","299 000 zl","https://www.otodom.pl/pl/oferta/budynek-2000r-oporow-pelen-rozklad-ID4he33","wroclaw","inne","oddzielna kuchnia",NA
"1:42","38 m²","pelna wlasnosc","2 ","do zamieszkania","1/8","balkon","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","plastikowe","tak",NA,NA,"zmywarka, piekarnik, kuchenka","440 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-po-remoncie-przy-jana-pawla-ID4haJJ","wroclaw","wielka plyta",NA,NA
"1:43","36,3 m²","pelna wlasnosc","2 ","do remontu","1/4","balkon","320 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1980","blok","plastikowe","nie","telewizja kablowa, internet, telefon","domofon / wideofon",NA,"390 000 zl","https://www.otodom.pl/pl/oferta/spizowa-2-pokoje-inwestycja-centrum-ID4hfs3","wroclaw","wielka plyta","piwnica",NA
"1:44","29,1 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"432 863 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-29m2-balkon-bez-prowizji-ID4cfuc","wroclaw",NA,NA,NA
"1:45","33,62 m²","pelna wlasnosc","1 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"412 519 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-ID4dfxH","wroclaw",NA,NA,NA
"1:46","30 m²","zapytaj","1 ","do zamieszkania","4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","prywatny","2016","apartamentowiec",NA,"tak",NA,NA,"zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","750 000 zl","https://www.otodom.pl/pl/oferta/lux-ovo-hilton-apartament-z-balkonem-for-sale-ID4henE","wroclaw",NA,NA,NA
"1:47","35,1 m²","pelna wlasnosc","2 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4gTSa","wroclaw",NA,NA,NA
"1:48","32 m²","pelna wlasnosc","2 ","do zamieszkania","2/10","balkon","350 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","1980","blok","plastikowe","tak","internet",NA,"lodówka, meble, kuchenka","440 000 zl","https://www.otodom.pl/pl/oferta/idealne-pod-inwestycje-2-mikrokawalerki-centrum-ID4hbAx","wroclaw",NA,NA,NA
"1:49","21,23 m²","pelna wlasnosc","1 ","do zamieszkania","parter/4","zapytaj","zapytaj","zapytaj","","miejskie","wtórny","prywatny",NA,NA,"plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","272 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-centrum-antresola-gotowe-ID4a43s","wroclaw",NA,NA,NA
"1:50","29,5 m²","pelna wlasnosc","1 ","do wykonczenia","5/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bez-prowizji-ID4gTRT","wroclaw",NA,NA,NA
"1:51","27 m²","zapytaj","1 ","do wykonczenia","zapytaj","zapytaj","zapytaj","garaz/miejsce parkingowe","tak","miejskie","wtórny","prywatny",NA,"blok","plastikowe","nie",NA,NA,NA,"299 500 zl","https://www.otodom.pl/pl/oferta/kawalerka-aleja-pracy-ID4hecX","wroclaw",NA,"piwnica",NA
"1:52","27,51 m²","pelna wlasnosc","1 ","do wykonczenia","2/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"340 849 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4dOQu","wroclaw",NA,NA,NA
"1:53","29,6 m²","pelna wlasnosc","1 ","do wykonczenia","parter/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"286 732 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bez-prowizji-ID4gcoc","wroclaw",NA,NA,NA
"1:54","31,55 m²","pelna wlasnosc","2 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4ekTh","wroclaw",NA,NA,NA
"1:55","30,96 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bezposrednio-ID4ekTa","wroclaw",NA,NA,NA
"1:56","26,17 m²","pelna wlasnosc","1 ","do wykonczenia","parter/12","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"275 616 zl","https://www.otodom.pl/pl/oferta/1-pokojowy-apartament-inwestycyjny-26m2-ID4epIe","wroclaw",NA,NA,NA
"1:57","29,14 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"297 200 zl","https://www.otodom.pl/pl/oferta/oferta-biura-sprzedazy-przejazdowa-kawalerka-ID4hezA","wroclaw","silikat",NA,NA
"1:58","26,46 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","biuro nieruchomosci ","2022","apartamentowiec",NA,"tak",NA,NA,NA,"272 400 zl","https://www.otodom.pl/pl/oferta/ostatnie-biuro-sprzedazy-kawalerka-balkon-ID4hguj","wroclaw",NA,NA,NA
"1:59","20,85 m²","pelna wlasnosc","1 ","do wykonczenia","parter","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-20m2-balkon-ID4gVvG","wroclaw",NA,NA,NA
"1:60","32,73 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4dFcC","wroclaw",NA,NA,NA
"1:61","15,76 m²","pelna wlasnosc","1 ","do wykonczenia","parter","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-15m2-balkon-bez-prowizji-ID4gVvT","wroclaw",NA,NA,NA
"1:62","32,82 m²","pelna wlasnosc","1 ","do wykonczenia","2/2","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-bez-prowizji-ID4h54d","wroclaw",NA,NA,NA
"1:63","33 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/2","zapytaj","339 zl","zapytaj","zapytaj","zapytaj","wtórny","prywatny","2003","blok","plastikowe","nie",NA,"teren zamkniety, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","367 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-gotowe-do-zamieszkania-ksieze-male-ID4h869","wroclaw",NA,"piwnica",NA
"1:64","34,82 m²","pelna wlasnosc","2 ","do wykonczenia","parter/3","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-ogrodek-ID4h54T","wroclaw",NA,NA,NA
"1:65","32,63 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-balkon-ID4dFcu","wroclaw",NA,NA,NA
"1:66","20,04 m²","pelna wlasnosc","1 ","do wykonczenia","parter","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-20m2-balkon-ID4gVvR","wroclaw",NA,NA,NA
"1:67","37 m²","pelna wlasnosc","2 ","do zamieszkania","8/8","balkon","430 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,"meble","430 000 zl","https://www.otodom.pl/pl/oferta/sloneczne-2-pok-m-balkon-grabiszynska-ID4gQLW","wroclaw","wielka plyta","piwnica, oddzielna kuchnia, pom. uzytkowe",NA
"1:68","33,62 m²","pelna wlasnosc","1 ","do wykonczenia","2/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"412 519 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-balkon-ID4dfxn","wroclaw",NA,NA,NA
"1:69","28,97 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"309 979 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bezposrednio-ID4fr1a","wroclaw",NA,NA,NA
"1:70","36,65 m²","pelna wlasnosc","2 ","zapytaj","5/6","zapytaj","zapytaj","garaz/miejsce parkingowe","zapytaj","gazowe","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"595 000 zl","https://www.otodom.pl/pl/oferta/apartament-przy-ksiecia-witolda-ID4gY0P","wroclaw",NA,NA,NA
