"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","cena","urlo","miasto","Material budynku","Rok budowy","Dostepne od"
"1:11","31,93 m²","pelna wlasnosc","1 ","do wykonczenia","2/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"411 897 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bez-prowizji-ID4e9lv","krakow",NA,NA,NA
"1:12","27,99 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","334 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-na-nowym-osiedlu-od-wlasciciela-bez-pcc-ID4h1jv","krakow","beton","2022",NA
"1:13","23,52 m²","zapytaj","2 ","do wykonczenia","suterena/2","zapytaj","150 zl","zapytaj","tak","kotlownia","wtórny","prywatny","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon",NA,NA,"199 000 zl","https://www.otodom.pl/pl/oferta/2-pokoje-w-stanie-deweloperskim-bronowice-ID4h4LC","krakow","pustak",NA,NA
"1:14","34,2 m²","spóldzielcze wlasnosciowe","2 ","do wykonczenia","4/4","balkon","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"nie",NA,NA,NA,"piwnica","449 000 zl","https://www.otodom.pl/pl/oferta/krakow-krowodrza-ul-warmijska-ID4gVfz","krakow","cegla","1960",NA
"1:15","26,51 m²","pelna wlasnosc","1 ","do wykonczenia","3/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"442 717 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-ID4fTpK","krakow",NA,NA,NA
"1:16","25 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","zapytaj","180 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet, telefon",NA,"lodówka, meble, piekarnik, kuchenka, telewizor, pralka","piwnica","400 000 zl","https://www.otodom.pl/pl/oferta/cicha-kawalerka-blisko-centrum-bronowice-ID4hk8F","krakow",NA,NA,NA
"1:17","28,53 m²","pelna wlasnosc","1 ","do wykonczenia","2/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-ID4g61c","krakow",NA,NA,NA
"1:18","36 m²","pelna wlasnosc","2 ","do remontu","5/10","zapytaj","360 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","drewniane","tak","internet",NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","305 000 zl","https://www.otodom.pl/pl/oferta/okazja-do-remontu-2-pokoje-36m2-wylacznosc-ID4h4RK","krakow","wielka plyta","1970",NA
"1:19","37,39 m²","pelna wlasnosc","2 ","do wykonczenia","parter/6","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-ogrodek-ID4g61p","krakow",NA,NA,NA
"1:20","35,36 m²","pelna wlasnosc","2 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-bezposrednio-ID4gGb2","krakow",NA,NA,NA
"1:21","36,35 m²","pelna wlasnosc","2 ","do wykonczenia","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"381 675 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-loggia-bez-prowizji-ID4eGiT","krakow",NA,NA,NA
"1:22","28,97 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"318 670 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-bez-prowizji-ID4fOJK","krakow",NA,NA,NA
"1:23","31,43 m²","pelna wlasnosc","2 ","do zamieszkania","2/4","zapytaj","100 zl","zapytaj","zapytaj","gazowe","wtórny","prywatny","kamienica","plastikowe","nie","internet","domofon / wideofon","zmywarka, lodówka, meble, kuchenka, pralka",NA,"559 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-scislym-centrum-2-pokoje-ID4hei2","krakow","cegla",NA,NA
"1:24","37,54 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"519 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-ID4fC3D","krakow",NA,NA,NA
"1:25","35,4 m²","zapytaj","1 ","zapytaj","4/4","zapytaj","350 zl","zapytaj","FilmWirtualny spacer","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telefon",NA,NA,"piwnica, oddzielna kuchnia","439 000 zl","https://www.otodom.pl/pl/oferta/1-pok-ok-36m2-po-remoncie-olsza-ID4gIAd","krakow",NA,"1965",NA
"1:26","30,82 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"343 951 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-ID4dvcV","krakow",NA,NA,NA
"1:27","37,44 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"473 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bez-prowizji-ID4fC3I","krakow",NA,NA,NA
"1:28","35,6 m²","pelna wlasnosc","1 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"366 680 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-ID4fCn5","krakow",NA,NA,NA
"1:29","30 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","4/4","balkon","340 zl","zapytaj","tak","miejskie","wtórny","prywatny","blok","plastikowe","nie","internet","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia","299 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-z-osobna-kuchnia-balkonem-i-piwnica-0-ID4heeH","krakow","wielka plyta","1974",NA
"1:30","37,25 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"497 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4fC3N","krakow",NA,NA,NA
"1:31","34,79 m²","pelna wlasnosc","1 ","do wykonczenia","5/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"469 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4cT5n","krakow",NA,NA,NA
"1:32","36,93 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4gIZd","krakow",NA,NA,NA
"1:33","33,43 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"481 400 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-33m2-taras-bezposrednio-ID4grvc","krakow",NA,NA,NA
"1:34","32,69 m²","pelna wlasnosc","2 ","do wykonczenia","1/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"490 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-balkon-bez-prowizji-ID4gG6m","krakow",NA,NA,NA
"1:35","26,04 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"429 660 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bezposrednio-ID4fTpz","krakow",NA,NA,NA
"1:36","37 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","3/4","balkon","370 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","meble, piekarnik, kuchenka","piwnica","740 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-z-parkingiem-przy-rynku-debnickim-ID4hk6N","krakow",NA,"1964",NA
"1:37","28 m²","pelna wlasnosc","1 ","do zamieszkania","3/5","ogródek","306 zl","zapytaj","zapytaj","miejskie","pierwotny","prywatny","kamienica","drewniane","tak","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"737 000 zl","https://www.otodom.pl/pl/oferta/apartament-28-m2-w-kamienicy-ul-topolowa-lubicz-ID4gDbo","krakow","cegla",NA,NA
"1:38","29,54 m²","pelna wlasnosc","1 ","do wykonczenia","4/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"457 900 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bezposrednio-ID4grvm","krakow",NA,NA,NA
"1:39","28,28 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"315 604 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-ogrodek-bez-prowizji-ID4dvc6","krakow",NA,NA,NA
"1:40","34,79 m²","pelna wlasnosc","1 ","do wykonczenia","7/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"439 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bez-prowizji-ID4cT5o","krakow",NA,NA,NA
"1:41","35 m²","pelna wlasnosc","2 ","do wykonczenia","2/2","balkon","380 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon",NA,NA,"399 000 zl","https://www.otodom.pl/pl/oferta/nowe-mieszkanie-gotowe-do-odbioru-ruczaj-skotniki-ID4gwst","krakow","beton","2021",NA
"1:42","24 m²","spóldzielcze wlasnosciowe","1 ","do zamieszkania","1/10","zapytaj","240 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka, pralka",NA,"269 500 zl","https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-kalinowe-ID4h8hj","krakow","wielka plyta","1970",NA
"1:43","31,45 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"393 125 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-ogrodek-bezposrednio-ID4e9kF","krakow",NA,NA,NA
"1:44","30,81 m²","pelna wlasnosc","1 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"419 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-ID4fERb","krakow",NA,NA,NA
"1:45","36,09 m²","pelna wlasnosc","2 ","do wykonczenia","2/5","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,NA,"389 000 zl","https://www.otodom.pl/pl/oferta/krakow-banacha-36m2-super-pod-inwestycje-2022-ID4hbyu","krakow",NA,"2022",NA
"1:46","33 m²","pelna wlasnosc","1 ","do zamieszkania","parter/3","zapytaj","300 zl","zapytaj","tak","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka",NA,"519 000 zl","https://www.otodom.pl/pl/oferta/bezposrednio-po-remoncie-aranzacji-eng-ID4fKry","krakow","pustak","2008",NA
"1:47","35,5 m²","pelna wlasnosc","2 ","do remontu","9/10","zapytaj","270 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok",NA,"tak",NA,NA,NA,"piwnica, oddzielna kuchnia, pom. uzytkowe","369 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-na-sprzedaz-9-pietro-azory-ID4hgtq","krakow","cegla","1968",NA
"1:48","32,12 m²","pelna wlasnosc","2 ","do wykonczenia","2/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"526 768 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4fTpV","krakow",NA,NA,NA
"1:49","34 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","zapytaj","300 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet","system alarmowy, drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka","piwnica, oddzielna kuchnia","464 000 zl","https://www.otodom.pl/pl/oferta/piekne-2-pokoje-idealny-rozklad-alarm-cegla-ID4gSDW","krakow","cegla","1960",NA
"1:50","35,88 m²","pelna wlasnosc","2 ","do wykonczenia","parter/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"531 024 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-bez-posrednikow-ID4fToz","krakow",NA,NA,NA
"1:51","31,63 m²","pelna wlasnosc","1 ","do wykonczenia","4/4","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica","plastikowe","nie","telefon",NA,NA,"oddzielna kuchnia","505 000 zl","https://www.otodom.pl/pl/oferta/mieszkania-z-widokiem-na-wawel-ID4gteM","krakow","cegla","1908",NA
"1:52","37,39 m²","pelna wlasnosc","2 ","do wykonczenia","3/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-37m2-balkon-bezposrednio-ID4g61k","krakow",NA,NA,NA
"1:53","20,79 m²","pelna wlasnosc","1 ","do remontu","4/4","zapytaj","85,28 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","kamienica",NA,"nie",NA,NA,NA,NA,"319 000 zl","https://www.otodom.pl/pl/oferta/ul-odrowaza-kawalerka-kamienica-319-000-pln-ID4geZp","krakow","cegla","1930",NA
"1:54","36,19 m²","pelna wlasnosc","2 ","zapytaj","1/4","balkon","599 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","blok","aluminiowe","nie",NA,NA,NA,NA,"459 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-na-bronowicach-ID4gkmH","krakow","cegla",NA,"2022-04-19"
"1:55","29,56 m²","pelna wlasnosc","1 ","do wykonczenia","1/5","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"434 600 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-taras-bez-prowizji-ID4grvr","krakow",NA,NA,NA
"1:56","36 m²","pelna wlasnosc","2 ","do zamieszkania","parter/2","balkon","390 zl","garaz/miejsce parkingowe","tak","zapytaj","wtórny","biuro nieruchomosci ","apartamentowiec",NA,"nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka","pom. uzytkowe","535 000 zl","https://www.otodom.pl/pl/oferta/wola-justowska-sliczne-2pokojowe-z-garazem-ID4eE0y","krakow",NA,"2016",NA
"1:57","36,6 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4gEma","krakow",NA,NA,NA
"1:58","28,53 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-bez-prowizji-ID4g60S","krakow",NA,NA,NA
"1:59","30,6 m²","pelna wlasnosc","1 ","do wykonczenia","parter/11","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"369 954 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-ogrodek-bez-prowizji-ID4gDJr","krakow",NA,NA,NA
"1:60","28,14 m²","pelna wlasnosc","1 ","do wykonczenia","3/4","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"429 135 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-balkon-ID4cE3P","krakow",NA,NA,NA
"1:61","18 m²","pelna wlasnosc","1 ","do zamieszkania","suterena/5","zapytaj","200 zl","zapytaj","tak","elektryczne","wtórny","prywatny","kamienica","plastikowe","tak","telewizja kablowa, internet, telefon","domofon / wideofon","zmywarka, lodówka, meble, kuchenka",NA,"230 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-wisle-wykonczona-pod-klucz-ID4he4K","krakow","cegla","1932",NA
"1:62","35,6 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"363 120 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-ogrodek-bezposrednio-ID4fCn2","krakow",NA,NA,NA
"1:63","29,58 m²","pelna wlasnosc","1 ","do wykonczenia","2/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"443 700 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-loggia-bez-prowizji-ID4grvi","krakow",NA,NA,NA
"1:64","31,28 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"392 564 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-31m2-loggia-bezposrednio-ID4dwGC","krakow",NA,NA,NA
"1:65","30,46 m²","pelna wlasnosc","1 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bez-prowizji-ID4dnaP","krakow",NA,NA,NA
"1:66","35,6 m²","pelna wlasnosc","2 ","do wykonczenia","1/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"537 560 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-ID4fTpf","krakow",NA,NA,NA
"1:67","35,18 m²","pelna wlasnosc","2 ","do wykonczenia","1/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-35m2-balkon-ID4dn9M","krakow",NA,NA,NA
"1:68","34,9 m²","pelna wlasnosc","2 ","do wykonczenia","4/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"433 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-balkon-ID4fC0K","krakow",NA,NA,NA
"1:69","35,78 m²","pelna wlasnosc","2 ","do wykonczenia","2/5","balkon","350 zl","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"piwnica, pom. uzytkowe","399 900 zl","https://www.otodom.pl/pl/oferta/nowe-2-pokojowe-mieszkanie-prywatnie-ID4hiD0","krakow","beton","2022",NA
"1:70","31,5 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,"469 350 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-balkon-bezposrednio-ID4c0nW","krakow",NA,NA,NA
