"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rok budowy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Material budynku","cena","urlo","miasto","Informacje dodatkowe","Dostepne od"
"1:16","33,45 m²","pelna wlasnosc","1 ","do wykonczenia","parter/6","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-bez-prowizji-ID4fVae","warszawa",NA,NA
"1:17","31,64 m²","pelna wlasnosc","1 ","do wykonczenia","7/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"732 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-loggia-bezposrednio-ID4fC0c","warszawa",NA,NA
"1:18","31,4 m²","pelna wlasnosc","1 ","do wykonczenia","3/6","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowy-lokal-inwestycyjny-31m2-bezposrednio-ID4g5Jd","warszawa",NA,NA
"1:19","31,78 m²","pelna wlasnosc","1 ","do wykonczenia","> 10/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"821 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-loggia-bez-prowizji-ID4fC0X","warszawa",NA,NA
"1:20","37,1 m²","pelna wlasnosc","2 ","do wykonczenia","4/6","balkon","zapytaj","zapytaj","zapytaj","miejskie","pierwotny","prywatny","2023","blok","drewniane","nie","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon, monitoring / ochrona",NA,"silikat","500 850 zl","https://www.otodom.pl/pl/oferta/2-pokoje-37m2-osiedle-aurora-popularna-jutrzenki-ID4herH","warszawa",NA,NA
"1:21","32,89 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-loggia-bez-prowizji-ID4dbvL","warszawa",NA,NA
"1:22","37,5 m²","spóldzielcze wl. z KW","1 ","do zamieszkania","10/10","taras","377 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1968","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, kuchenka, telewizor","beton","628 000 zl","https://www.otodom.pl/pl/oferta/37-5-m2-panorama-park-u-stop-i-metro-pod-reka-ID4gNXb","warszawa","piwnica",NA
"1:23","32 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1920","kamienica","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","cegla","631 000 zl","https://www.otodom.pl/pl/oferta/wysokie-mieszkanie-z-antresola-super-lokalizacja-ID4h1om","warszawa","dwupoziomowe",NA
"1:24","37,42 m²","pelna wlasnosc","1 ","do wykonczenia","4/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"768 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-bez-prowizji-ID4fC0i","warszawa",NA,NA
"1:25","27,51 m²","pelna wlasnosc","1 ","do wykonczenia","4/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"516 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bezposrednio-ID4fYzG","warszawa",NA,NA
"1:26","37,73 m²","pelna wlasnosc","1 ","do wykonczenia","1/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"707 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-37m2-bez-posrednikow-ID4fBZk","warszawa",NA,NA
"1:27","33,6 m²","pelna wlasnosc","1 ","do wykonczenia","6/16","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"758 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-loggia-bez-prowizji-ID4fC0k","warszawa",NA,NA
"1:28","32 m²","pelna wlasnosc","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4fEzh","warszawa",NA,NA
"1:29","35,3 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-ID4fHEI","warszawa",NA,NA
"1:30","30,89 m²","pelna wlasnosc","1 ","do wykonczenia","7/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-ID4dcDG","warszawa",NA,NA
"1:31","36,98 m²","pelna wlasnosc","2 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"619 000 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bezposrednio-ID4e1WI","warszawa",NA,NA
"1:32","34,84 m²","pelna wlasnosc","1 ","do wykonczenia","4/8","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-bez-prowizji-ID4dcCB","warszawa",NA,NA
"1:33","25,76 m²","pelna wlasnosc","1 ","do wykonczenia","parter/3","ogródek","zapytaj","garaz/miejsce parkingowe","zapytaj","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"257 600 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-ogrodek-bez-prowizji-ID4gtxe","warszawa",NA,NA
"1:34","29,43 m²","pelna wlasnosc","1 ","do wykonczenia","parter/5","ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-ogrodek-bezposrednio-ID4eppP","warszawa",NA,NA
"1:35","36,2 m²","udzial","1 ","do zamieszkania","3/7","balkon","855,20 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","2003","blok","drewniane","tak",NA,"domofon / wideofon","lodówka, meble, kuchenka, pralka","cegla","169 000 zl","https://www.otodom.pl/pl/oferta/odstapie-partycypacje-w-tbs-ID4hk0E","warszawa","oddzielna kuchnia",NA
"1:36","37,3 m²","pelna wlasnosc","2 ","do zamieszkania","4/6","zapytaj","430 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1961","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, piekarnik, kuchenka, pralka","cegla","759 000 zl","https://www.otodom.pl/pl/oferta/wyjatkowew-samym-sercu-warszawywysoki-standard-ID4heFn","warszawa","piwnica, oddzielna kuchnia",NA
"1:37","36,7 m²","spóldzielcze wl. z KW","2 ","do zamieszkania","parter/8","zapytaj","480 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1977","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon","zmywarka, meble, piekarnik, kuchenka, pralka","wielka plyta","540 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-mokotow-metro-wierzbno-37m-540-000-ID4gWlX","warszawa","piwnica",NA
"1:38","35,5 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","4/4","balkon","463 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","1968","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, pralka","beton","430 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-w-zielonej-okolicy-ul-kielpinska-ID4heE7","warszawa","piwnica",NA
"1:39","27,33 m²","pelna wlasnosc","1 ","do wykonczenia","5/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"529 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4fYA8","warszawa",NA,NA
"1:40","20,36 m²","pelna wlasnosc","1 ","do wykonczenia","7/7","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowy-lokal-inwestycyjny-20m2-bez-prowizji-ID4d7Co","warszawa",NA,NA
"1:41","36,43 m²","pelna wlasnosc","2 ","do wykonczenia","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","zapytaj","pierwotny","prywatny","2022","apartamentowiec",NA,"nie",NA,NA,NA,NA,"676 500 zl","https://www.otodom.pl/pl/oferta/apartament-wola-tower-sprzedam-bezposrednio-fv-vat-ID40SiL","warszawa",NA,NA
"1:42","25,01 m²","pelna wlasnosc","2 ","do wykonczenia","2/4","zapytaj","zapytaj","zapytaj","Film","miejskie","wtórny","prywatny","1938","kamienica","plastikowe","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon",NA,"cegla","409 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-zrewitalizowanej-kamienicy-lux-ID4h5hG","warszawa",NA,NA
"1:43","38 m²","pelna wlasnosc","2 ","do wykonczenia","> 10/11","balkon","400 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1992","blok","plastikowe","nie","telewizja kablowa, internet",NA,NA,"wielka plyta","450 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-38m2-2-pokoje-aneks-kuchenny-bemowo-ID4hbnX","warszawa","piwnica",NA
"1:44","25,03 m²","pelna wlasnosc","1 ","do wykonczenia","parter/4","balkon","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bezposrednio-ID4eU0Z","warszawa",NA,NA
"1:45","28,3 m²","pelna wlasnosc","1 ","do wykonczenia","1/8","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"502 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-28m2-taras-bezposrednio-ID4fYAh","warszawa",NA,NA
"1:46","33,22 m²","pelna wlasnosc","1 ","do wykonczenia","parter/8","taras, ogródek","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-bezposrednio-ID4fVea","warszawa",NA,NA
"1:47","20,36 m²","pelna wlasnosc","1 ","do wykonczenia","4/7","zapytaj","zapytaj","zapytaj","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowy-lokal-inwestycyjny-20m2-bezposrednio-ID4d7C0","warszawa",NA,NA
"1:48","27,33 m²","pelna wlasnosc","1 ","do wykonczenia","1/8","taras","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"482 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-taras-bez-prowizji-ID4fYA0","warszawa",NA,NA
"1:49","27,33 m²","pelna wlasnosc","1 ","do wykonczenia","3/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"501 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-ID4fYAb","warszawa",NA,NA
"1:50","23,7 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","balkon","zapytaj","garaz/miejsce parkingowe","zapytaj","miejskie","pierwotny","prywatny","2022","blok","plastikowe","tak","telewizja kablowa, internet, telefon","teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,NA,"385 000 zl","https://www.otodom.pl/pl/oferta/gotowa-kawalerka-ID4gXgD","warszawa","oddzielna kuchnia",NA
"1:51","22 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","zapytaj","350 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny",NA,"blok","drewniane","nie",NA,"teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","cegla","435 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-starowce-ID4h8DU","warszawa","piwnica",NA
"1:52","34,12 m²","pelna wlasnosc","1 ","do wykonczenia","2/7","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-balkon-bezposrednio-ID4fT7W","warszawa",NA,NA
"1:53","34,33 m²","pelna wlasnosc","1 ","do wykonczenia","1/6","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-34m2-loggia-bezposrednio-ID4hiQ6","warszawa",NA,NA
"1:54","37,38 m²","pelna wlasnosc","2 ","do zamieszkania","4/8","balkon","500 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1967","blok","plastikowe","tak",NA,"drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, piekarnik, kuchenka, pralka","cegla","648 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-srodmiescie-powisle-ID4gp4J","warszawa","piwnica",NA
"1:55","24,4 m²","zapytaj","1 ","zapytaj","6/10","zapytaj","361 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1974",NA,NA,"nie",NA,NA,NA,NA,"340 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-24-40-m-warszawa-ID4h9He","warszawa",NA,NA
"1:56","35,19 m²","pelna wlasnosc","1 ","do wykonczenia","3/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-balkon-bez-prowizji-ID4hgPw","warszawa",NA,NA
"1:57","29,98 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"385 544 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-29m2-balkon-bezposrednio-ID4g8cI","warszawa",NA,NA
"1:58","26 m²","pelna wlasnosc","1 ","do wykonczenia","1/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"497 000 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-26m2-balkon-bez-prowizji-ID4e1WV","warszawa",NA,NA
"1:59","25,2 m²","pelna wlasnosc","1 ","do wykonczenia","10/10","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"419 494 zl","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-loggia-bezposrednio-ID4eB8n","warszawa",NA,NA
"1:60","37,81 m²","pelna wlasnosc","1 ","do zamieszkania","1/4","balkon","zapytaj","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","1936",NA,"drewniane","nie",NA,NA,NA,NA,"499 092 zl","https://www.otodom.pl/pl/oferta/mieszkanie-w-rewitalizowanej-kamienicy-ID4hheB","warszawa","pom. uzytkowe","2022-09-15"
"1:61","27,51 m²","pelna wlasnosc","1 ","do wykonczenia","2/3","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4gC3l","warszawa",NA,NA
"1:62","26,7 m²","pelna wlasnosc","2 ","do zamieszkania","3/15","balkon","430 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","1970","blok","plastikowe","tak","telewizja kablowa, internet","domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, telewizor, pralka","zelbet","490 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-2pok-27m2-grzybowska-bezposrednio-ID4h8di","warszawa",NA,NA
"1:63","27,1 m²","pelna wlasnosc","1 ","do remontu","1/10","zapytaj","450 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1970","blok","drewniane","nie",NA,"domofon / wideofon",NA,"beton","349 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-do-remontu-sadyba-ID4h12G","warszawa",NA,NA
"1:64","36,85 m²","pelna wlasnosc","2 ","do wykonczenia","1/2","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"479 050 zl","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-ID4fC4H","warszawa",NA,NA
"1:65","30,05 m²","pelna wlasnosc","1 ","do wykonczenia","5/5","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-30m2-balkon-bez-prowizji-ID4g8cE","warszawa",NA,NA
"1:66","37,5 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","1/11","zapytaj","577 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","biuro nieruchomosci ",NA,"blok",NA,"tak",NA,NA,NA,NA,"599 000 zl","https://www.otodom.pl/pl/oferta/2-ciche-pokoje-z-tarasem-tuz-przy-placu-zawiszy-ID4hk9I","warszawa","piwnica, oddzielna kuchnia, pom. uzytkowe","2022-06-30"
"1:67","34,7 m²","pelna wlasnosc","2 ","do wykonczenia","5/5","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-34m2-loggia-bezposrednio-ID4g8cM","warszawa",NA,NA
"1:68","32,01 m²","pelna wlasnosc","2 ","do wykonczenia","4/8","balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-32m2-balkon-bezposrednio-ID4fEz5","warszawa",NA,NA
"1:69","35,76 m²","pelna wlasnosc","2 ","zapytaj","1/7","balkon","460 zl","zapytaj","zapytaj","miejskie","wtórny","biuro nieruchomosci ","1963","blok","plastikowe","tak",NA,"domofon / wideofon",NA,"inne","450 040 zl","https://www.otodom.pl/pl/oferta/jasne-m3-z-balkonem-blisko-metra-mlynow-ID4hfQS","warszawa","piwnica",NA
