"","Powierzchnia","Forma wlasnosci","Liczba pokoi","Stan wykonczenia","Pietro","Balkon / ogród / taras","Czynsz","Miejsce parkingowe","Obsluga zdalna","Ogrzewanie","Rynek","Typ ogloszeniodawcy","Rodzaj zabudowy","Okna","Winda","Media","Zabezpieczenia","Wyposazenie","Informacje dodatkowe","Material budynku","cena","urlo","miasto","Dostepne od","Rok budowy"
"1:56","32,76 m²","pelna wlasnosc","1 ","do wykonczenia","3/7","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-32m2-bez-posrednikow-ID4gsQM","lodz",NA,NA
"1:57","37,83 m²","pelna wlasnosc","2 ","do wykonczenia","4/6","balkon, taras","zapytaj","garaz/miejsce parkingowe","tak","zapytaj","pierwotny","biuro nieruchomosci ","apartamentowiec",NA,"tak",NA,"drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona",NA,"pom. uzytkowe","inne","337 632 zl","https://www.otodom.pl/pl/oferta/nowe-2pok-klucze-na-juz-blisko-centrum-ID4hjXC","lodz",NA,"2022"
"1:58","35,6 m²","pelna wlasnosc","1 ","do wykonczenia","1/3","zapytaj","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-35m2-bez-prowizji-ID4dyYF","lodz",NA,NA
"1:59","38 m²","spóldzielcze wlasnosciowe","2 ","do zamieszkania","2/4","zapytaj","400 zl","zapytaj","tak","miejskie","wtórny","biuro nieruchomosci ","blok","plastikowe","nie","telewizja kablowa, internet","drzwi / okna antywlamaniowe, domofon / wideofon","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","pom. uzytkowe","cegla","315 000 zl","https://www.otodom.pl/pl/oferta/dwa-pokoje-przy-manufakturze-po-remoncie-ID4h2pc","lodz",NA,"1960"
"1:60","25,63 m²","spóldzielcze wlasnosciowe","1 ","do remontu","10/10","balkon","370 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet",NA,NA,"piwnica","wielka plyta","198 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-kawalerke-ID4gE7R","lodz",NA,NA
"1:61","19 m²","pelna wlasnosc","1 ","do zamieszkania","1/3","zapytaj","117 zl","garaz/miejsce parkingowe","tak","elektryczne","wtórny","prywatny","kamienica","plastikowe","nie","telewizja kablowa, internet, telefon","teren zamkniety","lodówka, meble, kuchenka, pralka",NA,"cegla","163 000 zl","https://www.otodom.pl/pl/oferta/wynajeta-kawalerka-inwestycyjna-gotowiec-ID4gyqh","lodz",NA,NA
"1:62","34 m²","pelna wlasnosc","1 ","zapytaj","8","balkon","280 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","tak","telewizja kablowa, internet, telefon","drzwi / okna antywlamaniowe, domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia",NA,"229 000 zl","https://www.otodom.pl/pl/oferta/sprzedam-prywatnie-kawalerka-34m2-retkinia-ID4gBLU","lodz",NA,NA
"1:63","24,28 m²","pelna wlasnosc","1 ","do wykonczenia","1/2","ogródek","73 zl","zapytaj","zapytaj","elektryczne","pierwotny","deweloper","kamienica","plastikowe","nie","telewizja kablowa, internet","teren zamkniety, domofon / wideofon",NA,NA,"cegla","160 248 zl","https://www.otodom.pl/pl/oferta/kawalerka-przy-zgierskiej-208-ID4dSVk","lodz","2021-12-06","2021"
"1:64","35,1 m²","pelna wlasnosc","2 ","do zamieszkania","3/4","zapytaj","425 zl","garaz/miejsce parkingowe","zapytaj","miejskie","wtórny","prywatny","apartamentowiec","plastikowe","tak","internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","lodówka, meble, piekarnik, kuchenka, pralka","piwnica, oddzielna kuchnia, pom. uzytkowe","cegla","382 000 zl","https://www.otodom.pl/pl/oferta/apartament-blisko-manufaktury-ID4hd6s","lodz",NA,NA
"1:65","36,9 m²","pelna wlasnosc","2 ","do wykonczenia","2/3","taras, balkon","zapytaj","garaz/miejsce parkingowe","Wirtualny spacer","zapytaj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zapytaj o cene","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-taras-bez-prowizji-ID4dyYJ","lodz",NA,NA
"1:66","26 m²","spóldzielcze wl. z KW","1 ","do wykonczenia","2/3","zapytaj","zapytaj","zapytaj","zapytaj","miejskie","wtórny","prywatny","blok","plastikowe","nie","telewizja kablowa, internet","domofon / wideofon","lodówka, meble, piekarnik, kuchenka, pralka","piwnica","cegla","199 000 zl","https://www.otodom.pl/pl/oferta/blisko-parkow-szarych-szeregow-i-ocalalych-ID4hjRW","lodz",NA,"1957"
"1:67","30,74 m²","pelna wlasnosc","1 ","do remontu","3/4","ogródek","530 zl","zapytaj","zapytaj","miejskie","wtórny","prywatny","kamienica","drewniane","tak","telewizja kablowa, internet","drzwi / okna antywlamaniowe, teren zamkniety, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, pralka","piwnica","cegla","260 000 zl","https://www.otodom.pl/pl/oferta/kawalerka-kamienica-przy-teatrze-ID4h45L","lodz",NA,"1920"
"1:68","28 m²","spóldzielcze wlasnosciowe","2 ","zapytaj","1/10","zapytaj","250 zl","zapytaj","zapytaj","zapytaj","wtórny","biuro nieruchomosci ","blok","plastikowe","tak",NA,NA,NA,NA,NA,"239 000 zl","https://www.otodom.pl/pl/oferta/mieszkanie-28-m-lodz-ID4hjQF","lodz",NA,NA
"1:69","23,5 m²","pelna wlasnosc","1 ","do zamieszkania","3/3","zapytaj","zapytaj","zapytaj","Film","miejskie","wtórny","prywatny","blok","plastikowe","nie",NA,NA,NA,"piwnica",NA,"196 900 zl","https://www.otodom.pl/pl/oferta/kawalerka-w-najlepszej-lokalizacji-okazja-ID4hd1k","lodz",NA,NA
